code,group,sex,birth,age,grad,children,job,berlin,prev.home,uni1,uni2,uni3,uni4,uni5,uni6,uni7,uni8,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10,mood11,mood12,ls13,ls14,ls15,ls16,ls17,proc,extra,agree,consc,neuro,intell,gb.1,gb.2,at.1,at.2,cn.1,cn.2,ls.1,ls.2,sat.con.1,sat.con.2,sat.circ.1,sat.circ.2,sat.stress.1,sat.stress.2
63,Group 3,female,1985,23,2005,no,yes,yes,Berlin,no,yes,no,yes,yes,yes,no,no,3,1,3,3,5,1,5,4,5,1,4,2,5,4,5,4,4,3.6,4,4.25,2,4.5,4.5,3,3,1,2.75,1.75,2.75,22,26,3,3,2,2.66666666666667,1.66666666666667,2
64,Group 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,4,3,4,3,3,2,3,5,6,5,3,4,NA,3.5,3.75,2.75,4.25,3.5,3.75,NA,3.25,NA,3.5,NA,23,NA,NA,NA,NA,NA,NA,NA
65,Group 4,female,1974,34,1944,no,yes,yes,Berlin,no,yes,yes,yes,no,yes,no,no,2,1,4,3,4,3,4,3,2,3,1,2,4,5,4,3,2,2.7,3.75,4.5,3.5,4.5,3.25,3.25,NA,2,NA,2.75,NA,18,NA,2.33333333333333,NA,2,NA,2.66666666666667,NA
66,Group 4,female,1989,19,2008,no,no,yes,West Germany,NA,no,no,yes,yes,yes,yes,no,3,2,2,3,4,4,4,3,2,3,3,4,6,5,6,5,6,2.5,4.25,4.75,2.75,3.5,3,3,4.25,2.25,2.75,4,4.5,28,26,3,3,2.33333333333333,2.66666666666667,3.33333333333333,3.66666666666667
67,Group 1,male,1987,21,2006,no,no,yes,East Germany,no,yes,yes,yes,yes,yes,no,no,4,4,2,2,2,4,2,4,1,4,2,4,6,5,6,4,6,3.2,4.5,2.75,2,3,3,4,NA,4,NA,4.25,NA,27,NA,3.66666666666667,NA,3,NA,3,NA
68,Group 4,male,1988,20,2005,no,no,yes,Foreign Country,NA,yes,yes,no,yes,yes,yes,no,4,2,2,1,3,4,2,4,2,2,2,3,4,4,5,5,4,2.7,2.75,3.5,2.75,2.5,3,4.25,NA,2.75,NA,3.75,NA,22,NA,4,NA,4,NA,3,NA
69,Group 1,female,1982,26,NA,no,yes,yes,Berlin,no,no,no,no,no,no,no,no,NA,3,2,2,4,2,3,3,2,3,2,3,5,4,4,4,2,3,3.25,4.25,4,4.75,3,3.66666666666667,NA,2.75,NA,3.25,NA,19,NA,NA,NA,NA,NA,NA,NA
70,Group 2,male,1985,23,2005,no,no,yes,Berlin,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,2,4,2,4,3,4,1,4,7,7,6,7,5,2.5,4.25,4,3,3.25,4,4.5,NA,3.75,NA,3.5,NA,32,NA,NA,NA,2,NA,3.33333333333333,NA
71,Group 2,male,1981,27,2001,no,yes,yes,Berlin,no,yes,no,yes,yes,yes,no,no,3,NA,4,2,2,3,4,3,2,4,2,4,6,5,6,4,4,2.2,3.25,3.75,3.25,2.75,4,3.5,NA,3.33333333333333,NA,3.25,NA,25,NA,3.66666666666667,NA,2.66666666666667,NA,2.33333333333333,NA
72,Group 2,female,1987,21,2007,no,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,1,4,3,4,1,4,1,4,6,5,6,6,7,1.7,4.5,3.25,NA,3.25,3.75,4.5,5,3.75,5,4.25,4.5,30,31,3.66666666666667,3.66666666666667,2.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667
73,Group 1,female,1982,26,NA,no,yes,yes,West Germany,no,no,no,no,no,no,no,no,3,5,2,3,2,3,1,3,2,2,2,4,4,5,6,5,6,3.3,2,3.5,2.75,3.25,2.75,3.25,NA,4,NA,3.75,NA,26,NA,NA,NA,NA,NA,NA,NA
74,Group 1,female,1983,25,2007,no,yes,yes,West Germany,no,yes,no,yes,yes,yes,no,no,3,2,4,3,3,2,3,3,4,3,3,2,5,4,4,4,4,2.2,3.25,3,3.5,3.25,3,3,3.25,2.75,2.5,2,2.5,21,22,3,2.33333333333333,NA,2,3,1
75,Group 4,female,1972,36,1992,no,yes,yes,Berlin,yes,yes,yes,no,yes,yes,no,no,3,4,4,2,1,3,2,3,3,4,3,3,2,3,3,2,2,1.9,3.25,4,4.5,4.75,4,3.25,3,4.25,4.5,2.75,2,12,17,2.66666666666667,3,1.66666666666667,2.33333333333333,1.66666666666667,2
76,Group 2,female,1988,20,2007,no,no,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,1,3,2,3,2,1,2,2,2,1,2,2,3,4,2,3,1,3.7,2,3.75,3,3.75,2.25,2.5,NA,3,NA,2.75,NA,13,NA,2.66666666666667,NA,3.66666666666667,NA,2.33333333333333,NA
77,Group 1,female,1988,20,2007,no,no,no,West Germany,no,yes,yes,yes,yes,no,no,no,3,4,3,1,2,3,3,4,4,4,1,3,5,5,5,5,4,2,4.25,4,4.25,3.25,3.75,4.25,4.25,3.75,3.75,2.75,4.5,24,26,3.66666666666667,3.33333333333333,3.66666666666667,4,4,2.33333333333333
78,Group 4,female,1964,44,1986,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,yes,1,4,4,2,2,2,2,4,2,3,1,4,6,5,6,7,6,1.9,3.5,4.75,4.5,2.75,4,3.5,NA,3.75,NA,3,NA,30,NA,3,NA,1.33333333333333,NA,2.66666666666667,NA
79,Group 4,male,1986,22,2006,no,no,yes,West Germany,no,yes,yes,yes,yes,yes,yes,no,3,2,4,2,3,4,4,3,2,3,2,3,6,5,4,7,4,2.9,2.75,2.5,3.5,3.25,2.75,3.5,4.25,2.5,2.75,3.25,3,26,27,3.66666666666667,3.66666666666667,3,2,3.33333333333333,3
80,Group 1,female,1972,36,1992,no,yes,NA,NA,NA,yes,yes,yes,no,yes,yes,no,3,4,2,2,2,4,3,3,2,3,2,4,4,4,3,3,1,2.1,2.75,4,4.25,5,3.75,3.5,NA,3.5,NA,4,NA,15,NA,2.66666666666667,NA,2.33333333333333,NA,1.66666666666667,NA
81,Group 3,male,1989,19,2008,no,yes,yes,East Germany,yes,yes,yes,yes,yes,yes,no,yes,3,2,2,2,3,5,4,3,3,3,2,4,5,6,5,3,5,2,3,3.5,4.75,4.25,3.75,3.5,NA,2.5,NA,4,NA,24,NA,2.66666666666667,NA,3.33333333333333,NA,2.66666666666667,NA
82,Group 3,NA,1979,29,2000,no,NA,NA,Berlin,no,yes,no,yes,yes,yes,no,no,3,1,5,3,4,1,4,3,4,4,3,1,4,3,4,3,3,3,4.75,4.75,4.75,4,3.75,3,4.25,2.25,3.5,1.25,3.75,17,19,NA,2.66666666666667,NA,1,NA,2.33333333333333
83,Group 2,female,1978,30,1998,no,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,4,3,4,3,3,2,4,3,5,4,4,2,2,3,3,2,3,3.5,3.25,3.75,4.25,3.25,4.25,3,NA,3,NA,1.75,NA,13,NA,2.33333333333333,NA,1,NA,1,NA
84,Group 4,female,1984,24,2001,yes,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,1,2,5,3,3,3,4,1,5,3,3,1,1,3,4,6,4,3.1,2.75,3.25,3,4.5,3.25,2,3.25,2.5,2.75,1.5,2,18,22,3,3,1.66666666666667,2.33333333333333,1.66666666666667,2.33333333333333
85,Group 2,female,1972,36,2007,yes,yes,yes,Berlin,yes,no,yes,no,yes,yes,no,no,4,3,2,2,2,3,3,4,2,4,2,4,3,4,6,5,5,1.6,3.75,4,4,3.25,3,4,NA,3.5,NA,3.75,NA,23,NA,4,NA,4,NA,3,NA
86,Group 2,male,1985,23,2005,no,no,yes,West Germany,no,yes,yes,yes,yes,yes,no,no,3,3,4,3,3,3,3,3,4,3,3,3,3,6,6,3,4,1.5,3.25,3.5,4.25,3,5,3,NA,3,NA,2.5,NA,22,NA,4,NA,3.33333333333333,NA,3.66666666666667,NA
87,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,2,4,4,4,2,2,2,2,4,5,6,7,6,NA,3.75,3.75,4.25,3.25,3.5,4,NA,2.75,NA,3.75,NA,28,NA,NA,NA,NA,NA,NA,NA
88,Group 1,male,1985,23,2005,no,no,yes,West Germany,no,yes,no,yes,yes,yes,yes,no,5,3,1,1,4,5,4,4,1,4,1,4,5,5,6,1,6,2.9,3.25,4.75,2.75,3.25,4,4.75,NA,2.75,NA,4.75,NA,23,NA,4,NA,3,NA,3,NA
89,Group 1,male,1979,29,1999,no,yes,yes,West Germany,no,yes,no,yes,yes,no,no,no,4,3,2,1,1,3,2,4,1,3,1,3,5,6,6,6,5,1.9,4.25,NA,3.75,3.75,4.25,4.5,NA,3.75,NA,3.75,NA,28,NA,4,NA,3,NA,4,NA
90,Group 4,female,1986,22,2006,no,yes,yes,East Germany,yes,yes,yes,yes,yes,yes,yes,yes,4,2,3,2,4,3,4,3,3,2,2,3,5,4,6,3,5,2.3,3.75,4,4,3.25,3.5,3.75,NA,2,NA,3,NA,23,NA,4,NA,2.33333333333333,NA,2.33333333333333,NA
91,Group 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,2,3,1,4,3,5,3,2,1,3,4,6,4,3,NA,3.5,3.25,3.25,4.75,2.75,3.25,NA,2.5,NA,1,NA,20,NA,NA,NA,NA,NA,NA,NA
92,Group 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,4,4,5,4,2,3,2,4,5,6,6,4,4,NA,3.75,3.75,3.25,3,3.75,4,NA,2,NA,4,NA,25,NA,NA,NA,NA,NA,NA,NA
93,Group 4,female,1987,21,2007,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,yes,4,3,2,2,2,3,3,4,2,4,2,4,6,6,6,5,5,2.6,3.75,3.75,3.25,3.25,3.75,4,4.25,3.5,3.5,3.75,3.75,28,27,3,3.33333333333333,3,2.66666666666667,3.33333333333333,3
94,Group 2,male,1985,23,2007,no,no,yes,Berlin,no,yes,no,no,yes,no,no,no,3,4,2,2,1,3,2,4,1,2,1,3,4,5,4,3,3,2.5,3,4,3,4.25,2.75,4,NA,3.75,NA,3.75,NA,19,NA,3.33333333333333,NA,3,NA,1.33333333333333,NA
95,Group 2,male,1988,20,2007,no,no,yes,East Germany,no,yes,yes,yes,yes,yes,no,no,3,2,4,2,4,4,4,4,4,2,2,4,5,5,5,6,4,2.7,3.25,4.25,2,3.75,3.5,3.75,4,2,3.25,3,2,25,17,4,3.66666666666667,4,2,3,3
96,Group 4,female,1987,21,2006,no,no,yes,Berlin,yes,yes,no,yes,yes,yes,yes,yes,2,4,3,3,2,3,3,4,4,4,2,3,4,5,3,4,4,3,4.5,4,3,3.25,3,3.25,NA,3.75,NA,2.75,NA,20,NA,3,NA,3,NA,2.66666666666667,NA
97,Group 3,female,1980,28,2000,no,yes,yes,Berlin,no,yes,no,yes,yes,yes,no,no,4,2,2,2,4,3,3,4,2,3,1,3,6,5,6,7,7,2.4,4.75,4.25,4,4.5,4.25,4.25,NA,2.5,NA,3.5,NA,31,NA,4,NA,2.33333333333333,NA,1.66666666666667,NA
98,Group 4,female,1986,22,2005,no,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,3,3,3,2,2,4,2,3,3,3,2,3,3,3,4,4,2,2.3,4.25,3,3.75,4,3.25,3.5,NA,3.5,NA,3.25,NA,16,NA,1.66666666666667,NA,2.66666666666667,NA,2.33333333333333,NA
99,Group 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,2,4,4,4,1,3,2,3,6,5,5,6,6,NA,4,4,3.5,3,3,4,4.25,3,4,4,3.5,28,31,NA,3.33333333333333,NA,3.33333333333333,NA,3.66666666666667
100,Group 2,NA,1970,38,1989,yes,no,yes,Berlin,yes,yes,yes,yes,no,yes,no,no,3,2,3,2,3,4,3,3,4,2,2,3,4,4,5,4,2,3.3,3.5,3,3.25,4.25,4,3.5,NA,2.5,NA,3,NA,19,NA,4,NA,4,NA,2.33333333333333,NA
101,Group 4,female,1988,20,2007,no,no,yes,West Germany,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,2,2,4,2,4,2,3,5,4,6,6,4,2.3,4,3.25,3.25,2.75,3.75,4,3.5,3.25,3.5,3,2.75,25,27,3,3,3.33333333333333,3.33333333333333,3,3
102,Group 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,1,1,3,2,5,1,5,1,4,7,7,7,7,7,NA,4.5,4,4.25,3,3.75,5,NA,4.5,NA,4,NA,35,NA,NA,NA,NA,NA,NA,NA
103,Group 4,female,1981,27,1999,no,no,yes,Foreign Country,no,yes,yes,yes,yes,yes,no,yes,4,4,2,2,3,3,3,4,2,3,1,4,7,6,6,7,5,2.6,3.75,4,4.25,3.5,3.5,4.25,4.25,3.25,3.75,3.75,3.75,31,32,3.33333333333333,3.33333333333333,4,3.66666666666667,2.66666666666667,3
104,Group 1,female,1989,19,2008,no,no,yes,East Germany,no,no,yes,no,yes,yes,yes,no,2,2,3,3,2,2,4,3,1,2,1,4,5,6,6,7,6,2.3,3.25,3.75,4,3,3.25,3.25,NA,2.5,NA,3.5,NA,30,NA,3.66666666666667,NA,3.66666666666667,NA,3,NA
105,Group 1,female,1987,21,2007,no,no,yes,East Germany,yes,yes,yes,no,yes,yes,no,no,4,3,3,1,3,3,2,4,4,4,1,3,4,6,5,5,6,2.5,3,3.75,3.75,3.75,2.5,4.5,NA,3.5,NA,2.75,NA,26,NA,2.66666666666667,NA,1.66666666666667,NA,2.66666666666667,NA
106,Group 2,female,1979,29,1997,yes,no,yes,Berlin,yes,no,yes,yes,yes,yes,no,no,4,1,3,2,4,3,5,4,3,2,1,3,5,6,6,6,4,2.9,4.5,4,3,3.75,3.75,4.25,4,1.5,2,3,3.75,27,24,3.33333333333333,3,1.66666666666667,2,2,1.66666666666667
107,Group 3,female,1989,19,2008,no,yes,yes,Berlin,yes,yes,no,no,yes,no,no,yes,4,2,2,2,4,3,4,3,3,2,1,3,5,6,6,6,5,2.3,3.75,4,3.75,3.75,3.75,4,NA,2,NA,3.25,NA,28,NA,3.33333333333333,NA,3.66666666666667,NA,3.66666666666667,NA
108,Group 2,male,1983,25,2005,no,no,yes,NA,NA,yes,NA,no,no,yes,yes,yes,3,4,2,1,2,5,2,4,3,3,2,4,3,3,2,5,2,1.7,3.75,3.75,4.75,4,4.25,4,NA,3.75,NA,4,NA,15,NA,3.66666666666667,NA,3.33333333333333,NA,3.66666666666667,NA
109,Group 1,female,1982,26,2008,no,yes,yes,Berlin,no,no,yes,no,yes,yes,no,no,4,3,4,1,2,2,4,4,3,2,2,2,6,4,5,6,5,2,2.5,3.25,4.75,4.75,3.5,4.25,4.25,2.75,2.5,2.25,2,26,27,3.33333333333333,2.66666666666667,3.33333333333333,2.33333333333333,2.66666666666667,2.33333333333333
110,Group 2,female,1985,23,2008,no,no,yes,West Germany,no,yes,yes,yes,yes,no,no,no,3,1,3,4,4,3,5,2,1,2,2,2,4,5,5,4,5,2.7,3.75,4.5,3.5,3.75,3.75,2.75,NA,1.5,NA,3.25,NA,23,NA,3.33333333333333,NA,3.33333333333333,NA,2.66666666666667,NA
111,Group 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,2,4,2,3,2,4,3,4,2,2,6,2,1,NA,3.75,4.5,3.75,2.25,3.25,3.25,NA,4,NA,3.75,NA,13,NA,NA,NA,NA,NA,NA,NA
112,Group 1,male,1986,22,2006,no,no,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,2,3,4,3,1,3,1,3,4,5,6,5,4,1.8,3.75,4.5,2.5,2.5,5,4.25,NA,3,NA,4,NA,24,NA,4,NA,1.33333333333333,NA,3,NA
113,Group 1,female,1989,19,2007,no,no,yes,Foreign Country,no,yes,yes,yes,yes,yes,no,no,4,2,3,2,3,4,2,4,3,4,2,4,5,6,6,6,4,3,3.5,3.25,1.75,4,3.25,4,NA,3.25,NA,3.5,NA,27,NA,3.33333333333333,NA,3.33333333333333,NA,3,NA
114,Group 1,female,1988,20,2008,no,no,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,4,3,1,2,3,4,3,3,2,3,2,3,6,4,6,6,7,2.5,3,4,3.25,2.5,3,3.75,3.75,3,3.5,4,3.5,29,27,3,3,4,3,2.66666666666667,2.66666666666667
115,Group 1,female,1981,27,2000,no,no,yes,NA,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,4,4,5,3,3,1,4,6,7,7,7,7,1.3,3.75,2.75,5,2.25,4.5,5,NA,2.75,NA,3.5,NA,34,NA,4,NA,2.33333333333333,NA,2.33333333333333,NA
116,Group 1,female,1988,20,2008,no,no,NA,East Germany,yes,yes,yes,yes,yes,yes,no,yes,4,3,4,2,2,4,3,4,2,3,2,4,6,5,6,7,7,1.8,4.25,4.75,5,3,4,4,3.5,3.25,2.75,3.5,2.75,31,25,3,3.33333333333333,3,2,3.33333333333333,3
117,Group 3,female,1979,29,2008,no,yes,yes,Berlin,yes,yes,no,yes,yes,yes,no,no,3,3,1,1,3,4,2,4,1,3,1,4,5,5,5,5,3,2.4,4,3.5,4,4.25,3,4.25,4.5,3.25,3.75,4.5,4,23,29,3.66666666666667,3,2,1.33333333333333,3,2.33333333333333
118,Group 3,male,1973,35,1993,no,yes,yes,Berlin,yes,yes,no,yes,yes,yes,no,no,2,2,4,3,4,2,4,2,4,2,4,1,2,4,2,2,2,2.8,2.5,3.25,3.5,3.5,2.75,2.25,NA,2,NA,1.75,NA,12,NA,2,NA,2,NA,2,NA
119,Group 1,female,1991,17,NA,no,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,3,3,2,3,2,3,3,3,3,3,4,4,4,2.9,2.75,3.25,2,3.5,3,3.25,NA,3.5,NA,3.75,NA,18,NA,NA,NA,NA,NA,NA,NA
120,Group 4,female,1987,21,2007,no,no,yes,Berlin,yes,yes,no,no,yes,no,no,no,3,2,3,2,3,3,3,4,1,3,2,3,5,6,7,5,4,2.4,4.5,3.75,4,3.75,3,3.75,NA,2.75,NA,3.5,NA,27,NA,3.33333333333333,NA,2.66666666666667,NA,3,NA
121,Group 1,female,1987,21,2007,no,no,yes,West Germany,no,no,yes,yes,yes,no,no,yes,4,4,2,1,2,3,1,4,3,4,2,3,6,6,7,7,5,1.9,4,4.5,4.75,4.25,4,4.25,3.75,4.25,3.75,3.25,3.5,31,32,4,1.33333333333333,2.33333333333333,1.66666666666667,3,2.66666666666667
122,Group 4,female,1981,27,2000,no,yes,yes,Berlin,yes,yes,yes,no,yes,yes,yes,yes,5,3,3,1,1,3,3,5,3,3,1,2,6,5,7,6,6,1.3,2.25,4,5,2.5,3.75,5,NA,3.5,NA,2.75,NA,30,NA,4,NA,3,NA,3.33333333333333,NA
123,Group 1,female,1984,24,2003,no,no,yes,East Germany,yes,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,3,1,5,2,4,1,3,6,5,6,6,5,1.9,3.5,4,4.25,3.25,4,4.75,NA,4.5,NA,3.5,NA,28,NA,4,NA,1.66666666666667,NA,3.66666666666667,NA
124,Group 4,female,1975,33,1994,no,yes,yes,NA,yes,no,yes,no,no,no,NA,NA,4,3,2,2,4,2,4,3,4,2,3,2,5,5,5,5,4,3,3.25,3.75,4,3.75,4,3.5,NA,2.25,NA,2.5,NA,24,NA,3,NA,2.66666666666667,NA,2,NA
125,Group 2,female,1988,20,2007,no,yes,yes,Foreign Country,no,yes,yes,yes,yes,yes,yes,no,4,2,4,2,3,4,3,4,3,3,2,3,5,6,6,4,5,2.8,4.25,3.25,3.25,3.75,3.75,4,4.5,2.75,4.5,3,2.75,26,26,3,3,2.66666666666667,2.66666666666667,3,3.66666666666667
126,Group 4,male,1974,34,1994,no,yes,yes,NA,NA,no,yes,yes,no,yes,no,no,4,3,2,2,2,4,2,4,2,4,2,4,6,5,6,6,5,2.5,3,4,4,2.75,4,4,NA,3.75,NA,4,NA,28,NA,3,NA,3,NA,2.66666666666667,NA
