code,group,sex,birth,age,grad,children,job,berlin,prev.home,uni1,uni2,uni3,uni4,uni5,uni6,uni7,uni8,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10,mood11,mood12,ls13,ls14,ls15,ls16,ls17,proc,extra,agree,consc,neuro,intell,gb.1,gb.2,at.1,at.2,cn.1,cn.2,ls.1,ls.2,sat.con.1,sat.con.2,sat.circ.1,sat.circ.2,sat.stress.1,sat.stress.2
127,Group 3,female,1969,39,1988,yes,yes,yes,East Germany,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,3,4,3,4,2,2,3,5,2,3,4,5,3.4,4,4,2,4,3.75,3.75,NA,2.5,NA,3,NA,19,NA,3.66666666666667,NA,3.33333333333333,NA,2.33333333333333,NA
128,Group 2,female,1989,19,2008,no,yes,yes,East Germany,no,yes,yes,yes,yes,yes,no,yes,3,3,3,2,2,4,4,4,2,2,3,3,5,6,6,6,7,2.4,3.5,3.5,4,4,4,3.5,NA,2.75,NA,3.5,NA,30,NA,4,NA,3,NA,3,NA
129,Group 1,male,1980,28,2004,no,yes,yes,Berlin,no,no,no,no,no,no,no,no,4,3,3,2,2,4,3,4,3,4,2,2,4,5,5,4,3,3.1,2.75,1,2.25,2,2.25,4,NA,3.5,NA,3,NA,21,NA,3,NA,3,NA,1.33333333333333,NA
130,Group 2,male,1987,21,2006,no,no,yes,Foreign Country,yes,yes,yes,yes,yes,yes,no,no,3,2,3,2,3,4,3,4,3,4,2,2,5,6,6,6,6,3,3.5,4.5,3.25,3.5,3.75,3.75,NA,3,NA,3,NA,29,NA,3,NA,3.66666666666667,NA,2.66666666666667,NA
131,Group 1,female,1985,23,2005,no,no,yes,Foreign Country,no,yes,yes,yes,yes,no,no,no,3,2,4,2,2,4,3,4,4,4,2,3,4,5,5,6,5,3,3.75,5,2.75,3.25,2.5,3.75,NA,3.25,NA,2.75,NA,25,NA,3,NA,2.66666666666667,NA,2.66666666666667,NA
132,Group 1,female,1982,26,2001,no,yes,no,West Germany,yes,yes,yes,yes,no,no,yes,no,2,4,4,2,2,2,1,2,2,3,3,2,4,3,4,5,4,3.2,3,3.5,2.25,3.75,4,2.75,NA,4,NA,2.5,NA,20,NA,3.33333333333333,NA,2,NA,3.33333333333333,NA
133,Group 1,female,1964,44,1985,yes,no,no,East Germany,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,1,4,2,4,1,4,1,4,6,6,6,6,5,1.8,3,NA,3.75,2.75,3,4.5,NA,4.25,NA,4.5,NA,29,NA,3,NA,3.33333333333333,NA,3.66666666666667,NA
134,Group 1,male,1988,20,2007,no,no,no,East Germany,no,yes,yes,yes,yes,yes,no,no,3,4,1,1,2,4,2,3,1,2,1,3,5,7,6,5,7,2.3,3,4.75,3.75,2,3.5,4,4.5,3.5,3.25,4.25,4,30,31,3,3,3.33333333333333,2.66666666666667,3.33333333333333,3.66666666666667
135,Group 2,male,1986,22,2007,no,yes,yes,East Germany,no,no,yes,no,yes,yes,no,no,3,2,3,2,2,5,4,3,4,4,1,4,6,5,6,3,1,2.3,3.75,3,2.75,3.25,3.75,3.75,NA,3,NA,3.5,NA,21,NA,4,NA,3,NA,2,NA
136,Group 2,male,1986,22,2006,no,no,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,5,4,2,1,2,3,2,4,2,4,2,3,6,6,6,4,5,2.2,3.75,3.5,4,3.25,3.25,4.5,NA,4,NA,3.5,NA,27,NA,3,NA,3,NA,3,NA
137,Group 2,male,1988,20,2007,no,no,yes,Berlin,yes,yes,yes,no,yes,yes,no,yes,4,3,2,1,3,4,2,4,2,3,1,2,4,6,7,6,4,1.7,3.25,3.5,4.25,3.75,3,4.5,NA,3.25,NA,3.5,NA,27,NA,4,NA,2.33333333333333,NA,3,NA
138,Group 4,male,1981,27,2001,no,yes,yes,Berlin,no,yes,no,yes,yes,yes,yes,no,4,2,2,2,4,4,4,4,2,2,2,4,4,7,6,6,2,2.8,3.25,4,2,4,3,4,NA,2,NA,4,NA,25,NA,3.33333333333333,NA,1.33333333333333,NA,3,NA
139,Group 1,male,1987,21,2007,no,no,no,West Germany,no,yes,yes,yes,yes,yes,no,no,4,2,3,2,3,2,4,4,4,3,1,3,6,4,5,6,4,2.3,5,4.5,4.75,4.75,4,4.25,3.5,2.5,2.25,2.5,2,25,25,3.66666666666667,3,2.66666666666667,1.66666666666667,3,1.66666666666667
140,Group 4,female,1975,33,1997,no,no,yes,Foreign Country,no,yes,no,no,yes,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,2,NA,1.33333333333333,NA
141,Group 4,female,1975,33,1997,no,no,yes,Foreign Country,no,yes,no,no,yes,yes,no,no,2,2,4,2,1,1,2,3,2,3,3,1,3,4,5,6,4,2,3.5,3.5,3.75,3,3.5,3,2.75,3.5,2.75,2,2.75,22,28,2.33333333333333,3,2,2,1.33333333333333,2
142,Group 3,female,1988,20,2008,no,yes,no,East Germany,yes,yes,no,no,yes,yes,no,no,3,1,4,2,4,4,5,3,2,2,2,3,4,3,4,5,5,2.6,3.75,4.5,2.75,3.25,3.5,3.5,4.25,1.5,3,3.25,4,21,21,3.66666666666667,3,2.66666666666667,1.66666666666667,3,1.66666666666667
143,Group 3,male,1989,19,2008,no,yes,yes,East Germany,no,yes,yes,yes,yes,yes,yes,no,4,4,1,1,2,4,2,4,1,3,1,4,6,7,6,5,3,2.2,3,4.5,3.25,2.5,3.75,4.5,4.25,3.75,4,4.5,4,27,27,3.33333333333333,3,3,2.66666666666667,3.66666666666667,3
144,Group 4,female,1982,26,2006,no,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,no,5,4,1,1,2,2,3,4,1,4,1,4,4,4,6,6,4,2.7,4,4.75,3.75,3.75,4.5,4.75,NA,3.75,NA,4,NA,24,NA,3.33333333333333,NA,2.66666666666667,NA,2.33333333333333,NA
145,Group 2,female,1976,32,1996,no,yes,yes,Berlin,no,no,no,yes,no,yes,no,no,3,2,4,1,4,3,3,3,3,3,2,3,6,6,6,5,4,2.3,3,4.75,3.75,2.75,4,3.75,NA,2.5,NA,2.75,NA,27,NA,3,NA,2.66666666666667,NA,2,NA
146,Group 2,male,1981,27,2001,no,no,no,East Germany,no,no,no,yes,yes,no,no,yes,3,2,4,1,1,2,2,3,3,4,1,3,4,3,6,3,1,2.8,4.5,4.25,2.25,2.5,4,4,NA,3.75,NA,2.5,NA,17,NA,4,NA,1.33333333333333,NA,3,NA
147,Group 2,female,1989,19,2008,no,yes,yes,Berlin,no,no,yes,no,yes,no,no,no,3,3,2,2,2,4,2,4,1,3,2,3,4,6,5,4,2,2.5,3,3.75,3.5,3.5,3.75,3.75,4,3.5,2.25,4,3.5,21,22,3,3,3.66666666666667,3,2.66666666666667,3
148,Group 2,female,1983,25,2003,no,yes,no,East Germany,no,yes,yes,yes,no,no,no,no,2,2,4,1,3,2,3,3,4,3,2,2,6,7,6,6,2,1.8,3,3.75,4,3.5,3.75,3.5,3.75,2.75,3.25,2,2.75,27,30,3,4,2.66666666666667,3,3,3
149,Group 3,female,1983,25,2003,no,yes,no,East Germany,no,no,no,no,no,no,yes,yes,3,2,4,2,2,2,2,4,4,4,2,2,5,5,4,4,5,1.9,3.5,4,4.25,3.75,4,3.75,NA,3.5,NA,2,NA,23,NA,3.33333333333333,NA,3,NA,3,NA
150,Group 3,male,1980,28,1999,no,yes,yes,West Germany,no,yes,no,yes,yes,yes,no,no,5,4,2,2,2,3,2,5,2,5,2,4,6,7,7,6,4,2.3,4.25,3.75,4,3.25,3.25,4.5,NA,4.25,NA,3.75,NA,30,NA,3,NA,2,NA,1.66666666666667,NA
151,Group 4,female,1978,30,2008,yes,no,yes,Berlin,yes,yes,yes,yes,yes,no,no,no,3,2,2,3,4,3,4,4,3,2,2,3,5,4,5,4,3,3.4,2.5,3.25,4.25,4.75,5,3.5,NA,2,NA,3.25,NA,21,NA,1.33333333333333,NA,2,NA,3,NA
152,Group 4,female,1989,19,2008,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,no,4,3,2,2,3,3,2,4,1,4,2,4,6,7,6,6,6,2.1,3,4.25,4,2.5,3.75,4,4.5,3.5,4.25,4,4,31,31,3.33333333333333,4,3.33333333333333,2.66666666666667,2,2
153,Group 1,female,1985,23,2004,yes,yes,yes,Berlin,yes,yes,no,yes,yes,yes,no,yes,4,2,5,3,2,2,2,3,3,2,2,3,4,5,6,5,5,3.3,3.25,3,4,NA,4.5,3.5,NA,3,NA,2.25,NA,25,NA,2.66666666666667,NA,3,NA,1,NA
154,Group 3,female,1981,27,2000,no,yes,yes,Berlin,yes,yes,no,yes,yes,yes,no,no,1,1,2,3,3,2,4,2,4,1,4,2,1,2,2,4,3,2.4,3.75,3.5,4,4.75,4,2,NA,1.75,NA,2.5,NA,12,NA,4,NA,3.33333333333333,NA,1,NA
155,Group 4,female,1986,22,2006,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,no,4,1,4,2,4,4,2,4,2,4,3,2,3,3,4,3,2,3.4,4.25,4.5,3.25,3,3.75,3.75,NA,2.75,NA,3,NA,15,NA,3.33333333333333,NA,3.33333333333333,NA,2,NA
156,Group 3,male,1987,21,2009,no,no,yes,Berlin,no,yes,no,no,no,yes,no,no,4,5,2,2,3,4,4,4,2,4,2,4,3,4,5,5,4,2,4.25,4.5,4.25,2,3.25,4,NA,3.5,NA,4,NA,21,NA,2.33333333333333,NA,3,NA,1.66666666666667,NA
157,Group 1,female,1981,27,2000,no,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,3,5,3,4,1,3,1,3,6,6,7,5,7,2.4,2.75,3.75,3.5,2,3.75,4.5,NA,3,NA,4.25,NA,31,NA,NA,NA,1.33333333333333,NA,4,NA
158,Group 3,female,1981,27,2000,no,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,yes,4,5,2,2,3,4,4,4,2,4,2,4,3,4,5,5,4,2.4,4.25,4.5,4.25,2,3.25,4,NA,3.5,NA,4,NA,21,NA,NA,NA,1.33333333333333,NA,4,NA
159,Group 3,male,1979,29,1999,yes,no,yes,Berlin,no,yes,no,yes,yes,no,no,no,4,3,2,1,3,4,3,4,2,3,2,3,5,4,5,4,6,2.6,3,3.5,3.5,3.5,3,4.25,NA,3,NA,3.75,NA,24,NA,3,NA,3,NA,2.66666666666667,NA
160,Group 3,male,1971,37,1990,no,no,yes,Berlin,no,yes,no,yes,yes,no,no,no,2,1,5,3,4,2,5,3,4,2,3,1,3,3,3,6,4,2.5,3.75,4.5,5,3,4.25,2.75,NA,1.5,NA,1.5,NA,19,NA,3,NA,2.66666666666667,NA,2.33333333333333,NA
161,Group 3,female,1953,55,1971,yes,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,no,4,3,3,3,3,3,3,3,3,5,2,4,4,5,5,5,3,1,4.75,5,5,2.25,5,3.5,NA,3.5,NA,3.25,NA,22,NA,4,NA,3,NA,3.66666666666667,NA
162,Group 2,male,1975,33,1997,yes,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,yes,4,1,3,2,2,3,5,3,3,2,3,3,6,5,5,6,6,1.9,4.25,3.75,3,4,3,3.5,NA,2,NA,3,NA,28,NA,3,NA,2.66666666666667,NA,2.66666666666667,NA
163,Group 4,NA,1986,22,NA,no,yes,NA,NA,yes,yes,yes,yes,no,yes,yes,NA,5,3,2,1,2,4,3,4,2,4,1,4,6,6,6,5,6,2.4,3,4,3.75,2.5,3.5,4.75,NA,3.5,NA,4,NA,29,NA,3.33333333333333,NA,3,NA,3.33333333333333,NA
164,Group 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,1,3,4,4,4,2,4,1,4,7,6,7,7,7,NA,3.75,4,4,2.5,4,4.75,NA,3.25,NA,4,NA,34,NA,NA,NA,NA,NA,NA,NA
165,Group 4,NA,1986,22,NA,no,yes,NA,NA,yes,yes,yes,yes,yes,no,yes,NA,5,3,3,1,2,5,2,5,2,4,1,4,7,6,6,7,7,1.7,3.75,3.5,3.75,2.25,4,5,4.25,3.75,1.5,4,3.5,33,33,4,3.66666666666667,3.66666666666667,4,3,3.33333333333333
166,Group 2,female,1989,19,2008,no,yes,yes,West Germany,no,no,yes,yes,yes,yes,no,yes,4,2,4,2,2,3,2,4,3,3,2,2,6,6,6,7,6,1.7,3.25,3,4,3,3.5,4,NA,3.25,NA,2.5,NA,31,NA,4,NA,3,NA,2.66666666666667,NA
167,Group 3,female,1981,27,2000,yes,no,yes,Berlin,no,yes,yes,yes,yes,no,no,no,4,3,2,2,2,4,3,4,2,3,1,4,6,5,7,4,5,2.2,3.75,4.75,4,3.75,3.75,4.25,NA,3.25,NA,4,NA,27,NA,3.66666666666667,NA,3,NA,2.33333333333333,NA
168,Group 1,female,1971,37,1990,yes,no,yes,Berlin,no,yes,yes,yes,no,yes,no,no,4,2,4,2,2,4,3,4,4,2,1,2,6,6,7,5,6,2.6,3,3.75,2.75,3.5,2.75,4.25,2.75,2.75,2.5,2.5,2,30,27,3,2,2.66666666666667,2.66666666666667,2.33333333333333,1.33333333333333
169,Group 3,male,1980,28,1999,no,yes,no,Berlin,yes,yes,yes,no,no,yes,yes,no,4,4,1,1,1,4,2,4,2,3,1,4,6,6,7,6,6,2.3,3.75,4,2.5,3,2.5,4.5,NA,4,NA,4.25,NA,31,NA,3,NA,2.66666666666667,NA,3,NA
170,Group 1,female,1987,21,2005,no,no,yes,West Germany,no,yes,no,no,yes,yes,no,no,2,1,4,3,4,2,5,4,4,4,1,2,6,7,5,7,7,3.1,4.75,4.25,3.25,3.75,2.5,3.5,NA,2,NA,2,NA,32,NA,3.66666666666667,NA,3.66666666666667,NA,4,NA
171,Group 1,male,1969,39,1987,yes,no,yes,Berlin,no,yes,no,no,yes,no,no,no,3,3,3,2,2,3,2,3,2,3,2,3,4,4,4,6,4,2.3,3.5,3.25,3.25,3.75,3.5,3.5,NA,3.5,NA,3.25,NA,22,NA,4,NA,1.66666666666667,NA,3.33333333333333,NA
172,Group 4,male,1989,19,2008,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,1,3,4,4,5,2,4,1,4,5,6,6,6,3,2.2,3.75,4,2.5,3,4.5,4.75,NA,2.75,NA,4.25,NA,26,NA,3.66666666666667,NA,3.33333333333333,NA,2.33333333333333,NA
173,Group 4,male,1977,31,1995,yes,yes,yes,Berlin,yes,no,no,yes,yes,yes,no,no,4,3,5,2,2,2,3,4,5,3,2,3,6,6,6,7,6,2.9,4.25,4,4,2.75,4.25,4,NA,3.25,NA,1.75,NA,31,NA,3,NA,2.66666666666667,NA,2.66666666666667,NA
174,Group 2,female,1984,24,2008,no,yes,yes,Berlin,yes,yes,yes,yes,yes,no,no,no,4,2,3,1,2,1,2,4,3,3,2,2,6,6,5,6,7,2.6,4.75,4.5,3.75,3.75,3.75,4.25,4.75,3.25,4.25,2.25,3.25,30,34,4,4,2.66666666666667,3,2.66666666666667,3.66666666666667
175,Group 1,male,1987,21,2006,no,no,yes,Foreign Country,no,yes,yes,yes,yes,no,yes,no,4,3,2,2,3,4,4,4,1,3,1,4,5,6,5,3,4,1.9,3.5,4,3.75,3.25,3.25,4.25,4,2.75,3.5,4.25,4,23,19,3,1.66666666666667,3,1.66666666666667,3,2.33333333333333
176,Group 4,female,1981,27,1999,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,yes,yes,3,5,2,2,3,4,1,5,1,4,2,3,7,6,7,7,6,2.2,3.5,3.5,4.75,4.25,3.75,4,NA,4.25,NA,4,NA,33,NA,4,NA,2.33333333333333,NA,3.66666666666667,NA
177,Group 2,female,1978,30,1999,no,yes,yes,Berlin,no,yes,no,no,no,yes,no,no,4,3,4,2,3,3,3,4,4,3,2,3,5,5,6,6,6,2.5,4,4,3,3.75,3.75,4,NA,3,NA,2.5,NA,28,NA,3,NA,1.66666666666667,NA,3.66666666666667,NA
178,Group 4,female,1987,21,2006,no,yes,yes,Berlin,no,yes,yes,yes,yes,no,no,no,4,3,2,1,2,1,3,3,2,3,2,2,6,6,6,6,6,1.5,4.75,4.75,4.25,2.5,3.25,4,NA,3.25,NA,2.75,NA,30,NA,3.66666666666667,NA,2.66666666666667,NA,3.33333333333333,NA
179,Group 4,female,1987,21,2007,no,yes,yes,West Germany,no,yes,yes,yes,yes,no,yes,no,4,3,2,1,2,3,4,4,2,3,1,3,6,7,7,7,6,1.8,3.75,3.5,3.75,4.25,3.5,4.5,NA,3,NA,3.5,NA,33,NA,3.33333333333333,NA,3.33333333333333,NA,3,NA
180,Group 3,male,1960,48,1990,no,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,2,3,1,1,2,2,2,1,2,3,2,1,2,2,3,1,7,3.2,1.5,2.25,2.25,2,2,3,NA,3.5,NA,3,NA,15,NA,1.66666666666667,NA,2,NA,2,NA
181,Group 2,female,1988,20,2007,no,no,no,Foreign Country,no,yes,yes,yes,yes,no,no,yes,4,4,3,1,1,5,1,4,2,4,1,5,5,7,6,4,5,3.2,3.75,3.5,4,5,3.25,4.5,NA,4.5,NA,4.25,NA,27,NA,4,NA,4,NA,3.66666666666667,NA
182,Group 4,female,1981,27,1999,no,yes,yes,Berlin,no,no,yes,yes,yes,yes,no,no,4,3,3,2,2,3,3,4,2,4,2,4,5,6,5,3,3,2.6,3.5,4,4.25,4.25,3.75,4,NA,3.5,NA,3.5,NA,22,NA,3.33333333333333,NA,2,NA,2.33333333333333,NA
183,Group 4,male,1983,25,2007,no,no,yes,West Germany,no,yes,no,yes,yes,yes,yes,no,3,2,2,2,2,4,4,4,2,4,2,4,5,6,6,4,5,2.5,4,4.5,3.25,2.5,3.5,3.75,NA,3,NA,4,NA,26,NA,3.33333333333333,NA,2.66666666666667,NA,2.33333333333333,NA
184,Group 2,male,1979,29,1998,no,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,yes,4,4,2,1,2,4,3,3,2,3,2,4,4,4,5,3,3,2.6,2.5,3.75,1.75,2.75,4,4,NA,3.5,NA,4,NA,19,NA,3.33333333333333,NA,2.66666666666667,NA,3,NA
185,Group 4,male,1979,29,1998,no,yes,yes,Berlin,yes,yes,no,yes,yes,yes,no,no,4,2,3,2,3,3,4,4,3,3,2,3,5,5,4,3,5,2.8,4,4,3,3.75,3.5,4,NA,2.5,NA,3,NA,22,NA,2.66666666666667,NA,1.33333333333333,NA,2.33333333333333,NA
186,Group 2,female,1988,20,2008,no,yes,yes,Berlin,yes,yes,yes,no,yes,no,no,no,3,3,2,2,2,3,2,3,3,4,1,3,2,4,3,5,2,1.6,3.25,3.75,4.5,4,4.25,3.75,NA,3.75,NA,3.25,NA,16,NA,3.66666666666667,NA,3.66666666666667,NA,3,NA
187,Group 3,female,1979,29,1999,no,yes,no,West Germany,yes,yes,yes,yes,yes,yes,yes,yes,2,2,5,2,3,1,3,4,5,3,3,1,3,5,4,3,7,2.8,3.5,4,4.25,4.5,4,3.25,NA,2.75,NA,1,NA,22,NA,2.66666666666667,NA,1.33333333333333,NA,1.66666666666667,NA
188,Group 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,3,2,3,3,4,4,3,1,4,5,6,5,3,NA,NA,NA,3.75,4.75,2.75,3.5,NA,3,NA,1.75,NA,23,NA,NA,NA,NA,NA,NA,NA
189,Group 2,female,1989,19,2008,no,yes,yes,Berlin,yes,yes,yes,yes,yes,no,yes,no,4,3,2,2,2,3,2,4,2,4,2,4,5,6,6,6,4,2.3,4.75,4.75,3.75,3.25,4.25,4,4.5,3.75,3.75,3.75,4,27,26,3.33333333333333,3.66666666666667,2.33333333333333,3,2.66666666666667,3.33333333333333
190,Group 4,male,1983,25,2007,no,no,yes,Foreign Country,no,yes,yes,yes,yes,yes,no,yes,3,1,4,3,4,3,5,3,4,2,1,2,3,4,6,5,7,2.7,3.5,3.25,3.25,3.75,4.25,3.5,4.5,1.5,3.25,2.25,2.5,25,27,2.33333333333333,2.33333333333333,3,2,3,3
191,Group 3,female,1978,30,1997,no,yes,no,West Germany,no,yes,yes,yes,yes,yes,no,no,4,3,4,1,3,2,2,4,3,4,1,3,6,6,7,5,7,2.7,3.75,3,3,3.75,2.75,4.5,4.5,3.5,3.5,2.5,3.25,31,32,3.66666666666667,3,3.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333
